 zeta2/L_fil Omega_SH Omega_SH/Omega_SH0 ISHf/ISHf u/dU
 -0.5998362403231051E+000  0.3875755454133063E+003  0.8777517627537770E-001 -0.6437683471982995E-001  0.5521139858393971E+000
 -0.5486747051777497E+000  0.6984407488042963E+003  0.1581775748488675E+000 -0.5734731829436315E-001  0.5375526925502576E+000
 -0.4978268994248500E+000  0.1052886188264175E+004  0.2384496954632309E+000 -0.2939162860461016E-001  0.5173068372929139E+000
 -0.4472609815263519E+000  0.1445205870763980E+004  0.3272992880013733E+000  0.2546196076834988E-001  0.4910457670108397E+000
 -0.3969461034670274E+000  0.1871969932036155E+004  0.4239495827618827E+000  0.1160701557770102E+000  0.4583122471587204E+000
 -0.3468522883554743E+000  0.2317900867798805E+004  0.5249406461982264E+000  0.2377855844344254E+000  0.4191303899894039E+000
 -0.2969503158059099E+000  0.2764719832281074E+004  0.6261328236582092E+000  0.3800792984808199E+000  0.3736911292380596E+000
 -0.2472116139465934E+000  0.3196058286245511E+004  0.7238190922557365E+000  0.5332216275720503E+000  0.3219957699420481E+000
 -0.1976081570115598E+000  0.3589169677782163E+004  0.8128479850647305E+000  0.6818157593245232E+000  0.2649086593820796E+000
 -0.1481123675637535E+000  0.3920359152762837E+004  0.8878532708496690E+000  0.8105784154392097E+000  0.2032209855212939E+000
 -0.9869702247200428E-001  0.4171078323063264E+004  0.9446342510461067E+000  0.9064862005279435E+000  0.1375684720844588E+000
 -0.4933516182360757E-001  0.4340128976080250E+004  0.9829195635319863E+000  0.9711144130562843E+000  0.6941293698195350E-001
 -0.0000000000000000E+000  0.4415548471214261E+004  0.1000000000000000E+001  0.1000000000000000E+001  0.0000000000000000E+000
  0.4933516182360726E-001  0.4340128976080250E+004  0.9829195635319863E+000  0.9711144130562843E+000 -0.6941293698195350E-001
  0.9869702247200458E-001  0.4171078323063264E+004  0.9446342510461067E+000  0.9064862005279435E+000 -0.1375684720844588E+000
  0.1481123675637535E+000  0.3920359152762837E+004  0.8878532708496690E+000  0.8105784154392097E+000 -0.2032209855212939E+000
  0.1976081570115598E+000  0.3589169677782163E+004  0.8128479850647305E+000  0.6818157593245232E+000 -0.2649086593820796E+000
  0.2472116139465930E+000  0.3196058286245511E+004  0.7238190922557365E+000  0.5332216275720503E+000 -0.3219957699420481E+000
  0.2969503158059102E+000  0.2764719832281074E+004  0.6261328236582092E+000  0.3800792984808199E+000 -0.3736911292380596E+000
  0.3468522883554743E+000  0.2317900867798805E+004  0.5249406461982264E+000  0.2377855844344254E+000 -0.4191303899894039E+000
  0.3969461034670274E+000  0.1871969932036155E+004  0.4239495827618827E+000  0.1160701557770102E+000 -0.4583122471587204E+000
  0.4472609815263516E+000  0.1445205870763980E+004  0.3272992880013733E+000  0.2546196076834988E-001 -0.4910457670108397E+000
  0.4978268994248504E+000  0.1052886188264175E+004  0.2384496954632309E+000 -0.2939162860461016E-001 -0.5173068372929139E+000
  0.5486747051777497E+000  0.6984407488042963E+003  0.1581775748488675E+000 -0.5734731829436315E-001 -0.5375526925502576E+000
  0.5998362403231051E+000  0.3875755454133063E+003  0.8777517627537770E-001 -0.6437683471982995E-001 -0.5521139858393971E+000
  0.6513444713891421E+000  0.1217966419641132E+003  0.2758358169050277E-001 -0.5714788472836583E-001 -0.5615105186453067E+000
  0.7032336318771477E+000 -0.1016593240267291E+003 -0.2302303432732403E-001 -0.4196244831081906E-001 -0.5663701238800730E+000
  0.7555393763976995E+000 -0.2847065630931380E+003 -0.6447818769269328E-001 -0.2511754115729098E-001 -0.5673074484360908E+000
  0.8082989488253305E+000 -0.4312541863002315E+003 -0.9766718429469262E-001 -0.8298889739365559E-002 -0.5649239194591590E+000
  0.8615513666077449E+000 -0.5454329189787829E+003 -0.1235255195440739E+000  0.6770891646311517E-002 -0.5598236077907958E+000
  0.9153376236893416E+000 -0.6306978253905252E+003 -0.1428356702462119E+000  0.1851482612227846E-001 -0.5525858925296395E+000
  0.9697009148958486E+000 -0.6898829508487757E+003 -0.1562394695350406E+000  0.2740308993382417E-001 -0.5436557915195774E+000
  0.1024686885090945E+001 -0.7267496977274570E+003 -0.1645887713531550E+000  0.3364402770298630E-001 -0.5335176118110727E+000
  0.1080343906973821E+001 -0.7452384989260452E+003 -0.1687759751216381E+000  0.3760861248204250E-001 -0.5225162088810195E+000
  0.1136723392060015E+001 -0.7501716033348846E+003 -0.1698931872734238E+000  0.4005065055703986E-001 -0.5109402702288345E+000
  0.1193880140203451E+001 -0.7459647166432778E+003 -0.1689404434140749E+000  0.4145981248580244E-001 -0.4990695832527817E+000
  0.1251872734009593E+001 -0.7352768489657456E+003 -0.1665199360304037E+000  0.4211374116839448E-001 -0.4870579337952257E+000
  0.1310763985701542E+001 -0.7200056623028927E+003 -0.1630614332504187E+000  0.4240233297398532E-001 -0.4750765105146240E+000
  0.1370621445488756E+001 -0.7012512181604493E+003 -0.1588140686784506E+000  0.4276621836547674E-001 -0.4632057417402373E+000
  0.1431517982324093E+001 -0.6804310320751331E+003 -0.1540988705052120E+000  0.4286717361498801E-001 -0.4515143816787129E+000
  0.1493532450213090E+001 -0.6578365335809982E+003 -0.1489818394859779E+000  0.4248561543804234E-001 -0.4400431385278512E+000
  0.1556750456082946E+001 -0.6349862258915546E+003 -0.1438068747362059E+000  0.4158714435105155E-001 -0.4285329515809787E+000
  0.1621265248790119E+001 -0.6122313011101854E+003 -0.1386535115855775E+000  0.4091044323323276E-001 -0.4168916614045929E+000
  0.1687178753360829E+001 -0.5903884546604698E+003 -0.1337067090327094E+000  0.4068229899633453E-001 -0.4047967381132307E+000
  0.1754602780308219E+001 -0.5701968483959506E+003 -0.1291338668600661E+000  0.4125830005283925E-001 -0.3930327716511062E+000
  0.1823660447245902E+001 -0.5507005790450079E+003 -0.1247184993291597E+000  0.4110016705853516E-001 -0.3820588507286904E+000
  0.1894487859556550E+001 -0.5337522540516210E+003 -0.1208801709529962E+000  0.4102268609342519E-001 -0.3699761814721412E+000
  0.1967236109316446E+001 -0.5186529275333737E+003 -0.1174605897578893E+000  0.4023339000468702E-001 -0.3590015860188559E+000
  0.2042073668056045E+001 -0.5056673226774591E+003 -0.1145197082477961E+000  0.3938213971046592E-001 -0.3477575098849244E+000
  0.2119189270711276E+001 -0.4870504782487396E+003 -0.1103035062176098E+000  0.3898840581841523E-001 -0.3357297992579027E+000
  0.2198795417376278E+001 -0.4662594951922857E+003 -0.1055949217253335E+000  0.3874437492565431E-001 -0.3235990386521572E+000
  0.2281132659227008E+001 -0.4491537767732927E+003 -0.1017209480773239E+000  0.3759647120330543E-001 -0.3105547038897110E+000
  0.2366474889688444E+001 -0.4277261743707978E+003 -0.9686818685361970E-001  0.3632121662795522E-001 -0.2975341966748742E+000
  0.2455135938197958E+001 -0.4099009320355765E+003 -0.9283126087456472E-001  0.3416168332473178E-001 -0.2843112368556546E+000
  0.2547477871846564E+001 -0.3956444813743450E+003 -0.8960256782450045E-001  0.3171060291343057E-001 -0.2717956906347340E+000
  0.2643921565343055E+001 -0.3806201947122566E+003 -0.8619998108809966E-001  0.3060430990393445E-001 -0.2595359371230753E+000
  0.2744960326751236E+001 -0.3627280942086002E+003 -0.8214791357705359E-001  0.3097360317830140E-001 -0.2458374230686352E+000
  0.2851177705029829E+001 -0.3493793664855774E+003 -0.7912479474820469E-001  0.3323004244154505E-001 -0.2339966315435769E+000
  0.2963271121313795E+001 -0.3420700646534414E+003 -0.7746943938753169E-001  0.3266097941270271E-001 -0.2202489452410459E+000
  0.3082083770964571E+001 -0.3405476571840970E+003 -0.7712465606576109E-001  0.3243236026141920E-001 -0.2045869458392522E+000
  0.3208648533869367E+001 -0.3288342351617356E+003 -0.7447188889567491E-001  0.3045800065284298E-001 -0.1920348014456658E+000
  0.3344249762496272E+001 -0.3034074580663358E+003 -0.6871342485408155E-001  0.2916499317321106E-001 -0.1774255540393621E+000
  0.3490512463486501E+001 -0.2811427840477658E+003 -0.6367108998589534E-001  0.2623161725089041E-001 -0.1622842261597651E+000
  0.3649534877908924E+001 -0.2505666208865236E+003 -0.5674643195970139E-001  0.2149621031011538E-001 -0.1514597116562638E+000
  0.3824092563544655E+001 -0.2365093379093207E+003 -0.5356284489937473E-001  0.2330943579448300E-001 -0.1395484737099443E+000
  0.4017965911485440E+001 -0.2107473540171334E+003 -0.4772846575935755E-001  0.2939644700519864E-001 -0.1302079605378637E+000
  0.4236493172080578E+001 -0.1853588724424836E+003 -0.4197867459747544E-001  0.3439353172746049E-001 -0.1206770629218310E+000
  0.4487565524699555E+001 -0.1313653159266989E+003 -0.2975062255189646E-001  0.2693370670528226E-001 -0.1213253583118629E+000
  0.4783570351942771E+001 -0.1164424332952851E+003 -0.2637100103291672E-001  0.2451098415681184E-001 -0.1184194761271424E+000
  0.5145628218613484E+001 -0.1804518045359171E+003 -0.4086735899567499E-001  0.8378690109706079E-002 -0.1181504603325339E+000
  0.5614408347232188E+001 -0.2228033613391905E+003 -0.5045881905536423E-001  0.4825320992176472E-002 -0.8878581719713485E-001
  0.6285577857227059E+001 -0.1928859715781120E+003 -0.4368335504310952E-001  0.1490754316499109E-001 -0.1080827472972360E+000
  0.7500000000000004E+001  0.1047969205150307E+003  0.2373361343403210E-001 -0.1653412889835132E+000 -0.1314566136777705E+000
