 zeta2/L_fil Omega_SH Omega_SH/Omega_SH0 ISHf/ISHf u/dU
 -0.7032336318771475E+000 -0.7409131003992157E+002 -0.1534445599727967E-001 -0.6747878091391424E-001  0.5722475858024290E+000
 -0.6513444713891424E+000  0.1737946110415293E+003  0.3599320568436670E-001 -0.8096360832466820E-001  0.5665959272365012E+000
 -0.5998362403231050E+000  0.4697509257734141E+003  0.9728634041330511E-001 -0.8505242616663691E-001  0.5563852323460803E+000
 -0.5486747051777497E+000  0.8124366889849696E+003  0.1682572358079289E+000 -0.7374846113275012E-001  0.5411031046099716E+000
 -0.4978268994248500E+000  0.1200608960541185E+004  0.2486484765222461E+000 -0.3978245574733657E-001  0.5202568772482162E+000
 -0.4472609815263519E+000  0.1634580773160985E+004  0.3385248922478717E+000  0.2724047905273736E-001  0.4932503208331058E+000
 -0.3969461034670273E+000  0.2100535737407987E+004  0.4350250815649416E+000  0.1254882942581325E+000  0.4599853574297874E+000
 -0.3468522883554743E+000  0.2581614462979523E+004  0.5346574315906374E+000  0.2489744701341942E+000  0.4204739993301869E+000
 -0.2969503158059099E+000  0.3064319766052932E+004  0.6346266490153601E+000  0.3936484099696935E+000  0.3744883967069967E+000
 -0.2472116139465934E+000  0.3528193009253045E+004  0.7306957098102673E+000  0.5468231334744107E+000  0.3224878250322443E+000
 -0.1976081570115598E+000  0.3947254234611327E+004  0.8174841135948884E+000  0.6925166513224595E+000  0.2653095237440378E+000
 -0.1481123675637535E+000  0.4297121051335264E+004  0.8899422192922519E+000  0.8156147684920529E+000  0.2034087521847947E+000
 -0.9869702247200428E-001  0.4564624629691414E+004  0.9453427363702888E+000  0.9082280740393770E+000  0.1376089684693479E+000
 -0.4933516182360758E-001  0.4746143894818169E+004  0.9829357331049297E+000  0.9712930255905888E+000  0.6941641114838094E-001
 -0.0000000000000000E+000  0.4828539379503372E+004  0.1000000000000000E+001  0.1000000000000000E+001  0.0000000000000000E+000
  0.4933516182360726E-001  0.4746143894818169E+004  0.9829357331049297E+000  0.9712930255905888E+000 -0.6941641114838094E-001
  0.9869702247200458E-001  0.4564624629691414E+004  0.9453427363702888E+000  0.9082280740393770E+000 -0.1376089684693479E+000
  0.1481123675637535E+000  0.4297121051335264E+004  0.8899422192922519E+000  0.8156147684920529E+000 -0.2034087521847947E+000
  0.1976081570115598E+000  0.3947254234611327E+004  0.8174841135948884E+000  0.6925166513224595E+000 -0.2653095237440378E+000
  0.2472116139465930E+000  0.3528193009253045E+004  0.7306957098102673E+000  0.5468231334744107E+000 -0.3224878250322443E+000
  0.2969503158059102E+000  0.3064319766052932E+004  0.6346266490153601E+000  0.3936484099696935E+000 -0.3744883967069967E+000
  0.3468522883554743E+000  0.2581614462979523E+004  0.5346574315906374E+000  0.2489744701341942E+000 -0.4204739993301869E+000
  0.3969461034670273E+000  0.2100535737407987E+004  0.4350250815649416E+000  0.1254882942581325E+000 -0.4599853574297874E+000
  0.4472609815263516E+000  0.1634580773160985E+004  0.3385248922478717E+000  0.2724047905273736E-001 -0.4932503208331058E+000
  0.4978268994248504E+000  0.1200608960541185E+004  0.2486484765222461E+000 -0.3978245574733657E-001 -0.5202568772482162E+000
  0.5486747051777497E+000  0.8124366889849696E+003  0.1682572358079289E+000 -0.7374846113275012E-001 -0.5411031046099716E+000
  0.5998362403231050E+000  0.4697509257734141E+003  0.9728634041330511E-001 -0.8505242616663691E-001 -0.5563852323460803E+000
  0.6513444713891421E+000  0.1737946110415293E+003  0.3599320568436670E-001 -0.8096360832466820E-001 -0.5665959272365012E+000
  0.7032336318771477E+000 -0.7409131003992157E+002 -0.1534445599727967E-001 -0.6747878091391424E-001 -0.5722475858024290E+000
  0.7555393763976995E+000 -0.2781288727855785E+003 -0.5760103644721331E-001 -0.4872794715494221E-001 -0.5739730363547628E+000
  0.8082989488253304E+000 -0.4428058789313561E+003 -0.9170596822944413E-001 -0.2908903949278613E-001 -0.5723910783947882E+000
  0.8615513666077449E+000 -0.5715741994416765E+003 -0.1183741406082235E+000 -0.1198539802636762E-001 -0.5681161728559896E+000
  0.9153376236893415E+000 -0.6686528694270874E+003 -0.1384793240509638E+000  0.2746485808750413E-002 -0.5616321251199563E+000
  0.9697009148958486E+000 -0.7382318008998252E+003 -0.1528892575741516E+000  0.1461073336560359E-001 -0.5534464017733092E+000
  0.1024686885090945E+001 -0.7846535006906254E+003 -0.1625032828812362E+000  0.2336510705347055E-001 -0.5440301571260003E+000
  0.1080343906973821E+001 -0.8109368168079295E+003 -0.1679466093308193E+000  0.2963584589574533E-001 -0.5336802262248705E+000
  0.1136723392060015E+001 -0.8211558660435289E+003 -0.1700629945215414E+000  0.3377344972688932E-001 -0.5227286423861612E+000
  0.1193880140203451E+001 -0.8185013960722324E+003 -0.1695132485709203E+000  0.3616028440912804E-001 -0.5114303665486389E+000
  0.1251872734009593E+001 -0.8064802959342703E+003 -0.1670236550948910E+000  0.3723994435491332E-001 -0.4999356318872614E+000
  0.1310763985701542E+001 -0.7888647636208366E+003 -0.1633754437148182E+000  0.3735540787045719E-001 -0.4884295281663496E+000
  0.1370621445488756E+001 -0.7677443739588027E+003 -0.1590013694861420E+000  0.3718462372891541E-001 -0.4769997025428240E+000
  0.1431517982324093E+001 -0.7446053356404373E+003 -0.1542092291514089E+000  0.3668443560719632E-001 -0.4657117832029269E+000
  0.1493532450213090E+001 -0.7198492013642308E+003 -0.1490821850640616E+000  0.3610628820998620E-001 -0.4546350234165103E+000
  0.1556750456082946E+001 -0.6935856929941342E+003 -0.1436429608378738E+000  0.3513937292237085E-001 -0.4437805013302574E+000
  0.1621265248790119E+001 -0.6657599034559596E+003 -0.1378801851098157E+000  0.3412776820674546E-001 -0.4331636645560122E+000
  0.1687178753360829E+001 -0.6371794198657176E+003 -0.1319611107595964E+000  0.3330356362844553E-001 -0.4227752248133921E+000
  0.1754602780308219E+001 -0.6108865227016803E+003 -0.1265158000563954E+000  0.3226360660906140E-001 -0.4119736276445990E+000
  0.1823660447245902E+001 -0.5869418518140972E+003 -0.1215568116324373E+000  0.3115236404336587E-001 -0.4018810698763234E+000
  0.1894487859556550E+001 -0.5654771153853816E+003 -0.1171114225112817E+000  0.3048031077264235E-001 -0.3908194020840461E+000
  0.1967236109316446E+001 -0.5452530385116369E+003 -0.1129229764235075E+000  0.3136314255005430E-001 -0.3800938849641748E+000
  0.2042073668056045E+001 -0.5240121452697285E+003 -0.1085239456664894E+000  0.3216649895487569E-001 -0.3702138571948118E+000
  0.2119189270711276E+001 -0.5114552292671128E+003 -0.1059233836712992E+000  0.3296188312892053E-001 -0.3593977058437197E+000
  0.2198795417376278E+001 -0.4957797138334982E+003 -0.1026769536017516E+000  0.3292281296850904E-001 -0.3485624322007373E+000
  0.2281132659227008E+001 -0.4832064768793806E+003 -0.1000730115054130E+000  0.3225648000798888E-001 -0.3374748389392331E+000
  0.2366474889688444E+001 -0.4697638708664547E+003 -0.9728902136752815E-001  0.3262702419969386E-001 -0.3259177973256697E+000
  0.2455135938197958E+001 -0.4548042413340822E+003 -0.9419085267579613E-001  0.3364277662659772E-001 -0.3130007372569861E+000
  0.2547477871846564E+001 -0.4399097297736272E+003 -0.9110617004409169E-001  0.3374003177681340E-001 -0.3008836918242441E+000
  0.2643921565343055E+001 -0.4269952442583233E+003 -0.8843155469972389E-001  0.3340839007416909E-001 -0.2869429419822033E+000
  0.2744960326751236E+001 -0.4140019401668422E+003 -0.8574061587324640E-001  0.3189992735137860E-001 -0.2724472948037409E+000
  0.2851177705029829E+001 -0.4006805681887039E+003 -0.8298173354235229E-001  0.2897088747632156E-001 -0.2594752179357968E+000
  0.2963271121313795E+001 -0.3833325884338942E+003 -0.7938893282326734E-001  0.2625127233389440E-001 -0.2475883184006574E+000
  0.3082083770964572E+001 -0.3636215408451801E+003 -0.7530673610920814E-001  0.2601741113192468E-001 -0.2337719949862807E+000
  0.3208648533869368E+001 -0.3472226346417872E+003 -0.7191049038881400E-001  0.2770662809210034E-001 -0.2212507591917145E+000
  0.3344249762496272E+001 -0.3371663196813764E+003 -0.6982780778647285E-001  0.2907551478017006E-001 -0.2066986200176763E+000
  0.3490512463486501E+001 -0.3310974208549779E+003 -0.6857092690606412E-001  0.2940678438687265E-001 -0.1906731286180054E+000
  0.3649534877908924E+001 -0.3128183095803636E+003 -0.6478528701831521E-001  0.2828567107551394E-001 -0.1742805288955615E+000
  0.3824092563544656E+001 -0.2953753206133561E+003 -0.6117280970456457E-001  0.2970483929261675E-001 -0.1586783097039252E+000
  0.4017965911485440E+001 -0.2662036427607312E+003 -0.5513129786012244E-001  0.2433713563555193E-001 -0.1431903908014680E+000
  0.4236493172080578E+001 -0.2432579271686462E+003 -0.5037919504213838E-001  0.2167639104158016E-001 -0.1326252242629784E+000
  0.4487565524699555E+001 -0.2052831938863114E+003 -0.4251455310848583E-001  0.2284905085044994E-001 -0.1224953831789576E+000
  0.4783570351942771E+001 -0.1716830868345399E+003 -0.3555590486914449E-001  0.2770562196591354E-001 -0.1127130010812716E+000
  0.5145628218613484E+001 -0.1313589493484956E+003 -0.2720469670519829E-001  0.2001194479062118E-001 -0.1103458517605580E+000
  0.5614408347232188E+001 -0.1469050239792260E+003 -0.3042431932994518E-001  0.2271165961439547E-001 -0.1038954254198802E+000
  0.6285577857227059E+001 -0.2046378573930312E+003 -0.4238090265178261E-001  0.1976980500349487E-001 -0.8757528010293374E-001
  0.7500000000000004E+001 -0.2520373864496066E+003 -0.5219743832254491E-001 -0.9510334139739771E-002 -0.3209725047282932E-001
